#,Company,Ticker,Weight,Day,Date,Time
78,PACCAR Inc,PCAR,0.273,Tuesday,Apr 26,8:00 AM ET
79,Xcel Energy Inc,XEL,0.271,Thursday,Apr 28,6:00 AM ET
80,Cintas Corp,CTAS,0.271,Wednesday,Mar 23,8:30 AM ET
81,O'Reilly Automotive Inc,ORLY,0.264,Wednesday,Feb 9,4:30 PM ET
82,Seagen Inc,SGEN,0.263,Wednesday,Feb 9,4:00 PM ET
83,ANSYS Inc,ANSS,0.257,Wednesday,Feb 23,4:30 PM ET
84,Okta Inc,OKTA,0.253,Wednesday,Mar 2,4:00 PM ET
85,Verisk Analytics Inc,VRSK,0.25,Tuesday,Feb 22,4:10 PM ET
86,Paychex Inc,PAYX,0.249,Wednesday,Mar 23,8:30 AM ET
87,Atlassian Corp PLC,TEAM,0.248,Thursday,Apr 28,4:05 PM ET
88,Splunk Inc,SPLK,0.219,Wednesday,Mar 2,4:00 PM ET
89,Fastenal Co,FAST,0.218,Wednesday,Apr 20,6:50 AM ET
90,Copart Inc,CPRT,0.216,Thursday,Feb 17,4:45 PM ET
91,Skyworks Solutions Inc,SWKS,0.214,Thursday,Feb 3,4:00 PM ET
92,Dollar Tree Inc,DLTR,0.202,Tuesday,Feb 22,7:30 AM ET
93,Sirius XM Holdings Inc,SIRI,0.202,Tuesday,Feb 1,7:00 AM ET
95,Cerner Corp,CERN,0.195,Wednesday,Feb 9,7:30 AM ET
96,VeriSign Inc,VRSN,0.177,Thursday,Feb 10,4:05 PM ET
97,Incyte Corp,INCY,0.171,Tuesday,Feb 8,7:00 AM ET
98,CDW Corp/DE,CDW,0.154,Wednesday,Feb 9,7:00 AM ET
99,Check Point Software Technologies Ltd,CHKP,0.145,Thursday,Feb 3,5:00 AM ET
100,Trip.com Group Ltd ADR,TCOM,0.14,Wednesday,Mar 16,5:00 PM ET
101,Fox Corp,FOXA,0.081,Tuesday,Feb 15,After the close
102,Fox Corp,FOX,0.06,Wednesday,Feb 9,8:00 AM ET
