Splunk,splk,0.93%,Wednesday,Jun-2,4:00 PM ET
Starbucks,sbux,0.70%,Tuesday,Apr-27,4:05 PM ET
Synopsys,snps,1.72%,Wednesday,May-19,4:05 PM ET
T-Mobile,tmus,0.30%,Tuesday,May-4,4:00 PM ET
Take-Two,ttwo,1.09%,Tuesday,May-18,4:05 PM ET
Tesla,tsla,3.28%,Monday,Apr-26,4:10 PM ET
Texas,txn,1.64%,Tuesday,Apr-27,4:00 PM ET
The,khc,1.47%,Thursday,Apr-29,7:00 AM ET
Trip.com,tcom,0.74%,Wednesday,Jun-2,5:00 PM ET
Ulta,ulta,0.37%,Thursday,Jun-10,4:05 PM ET
VeriSign,vrsn,0.60%,Thursday,Apr-22,4:05 PM ET
Verisk,vrsk,1.01%,Tuesday,May-4,4:10 PM ET
Vertex,vrtx,1.72%,Thursday,Apr-29,4:00 PM ET
Walgreens,wba,2.72%,Wednesday,Jun-30,7:00 AM ET
Western,wdc,4.61%,Thursday,Apr-29,4:00 PM ET
Workday,wday,0.53%,Thursday,May-27,4:00 PM ET
Xcel,xel,0.28%,Thursday,Apr-29,6:00 AM ET
Xilinx,xlnx,3.05%,Tuesday,May-4,4:20 PM ET
Zoom,zm,1.72%,Monday,May-31,4:05 PM ET
